id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Marlene;Morissette;Eusebio.Franey@gmail.com;tinkling;2023-12-27T11:41:43;3665;10556
2;Neil;Quigley;Kaylah62@hotmail.com;diamond;2023-12-27T00:26:42;15739;13099
3;Hubert;Wisozk;Deion_Lindgren64@hotmail.com;considering the;2023-12-26T21:31:28;14612;18063
4;Judge;Bogisich;Burley_Feest55@yahoo.com;during;2023-12-27T06:16:21;20786;19409
5;Austyn;Farrell;Alexandra95@hotmail.com;share;2023-12-27T07:42:58;14559;26411
6;Ford;Gerhold;Jasen.Schmitt@gmail.com;yearly;2023-12-26T17:26:13;4892;19091
7;Melvin;Ruecker-Zulauf;Marcelle65@hotmail.com;ah reassuringly;2023-12-27T14:24:52;28044;15688
8;Hans;Erdman;Timothy.Schimmel38@gmail.com;vice;2023-12-27T12:46:07;27677;17972
9;Curtis;Gutmann;Johathan.Lakin9@gmail.com;single;2023-12-26T19:45:44;9091;3666
10;Kaleigh;Huels;Treva60@yahoo.com;ack gate bowed;2023-12-27T12:29:00;22229;11008
